"Ticker","company_name","Return","Volatility","Cluster","Cluster_Label"
"NEM","Newmont",0.869795384402081,0.392718660140836,"4","High Volatility / Speculative"
"CVS","CVS Health",0.926025924661219,0.364480512427003,"4","High Volatility / Speculative"
"DUK","Duke Energy",0.187899227433222,0.199425362752319,"2","Aggressive Growth"
"HCA","HCA Healthcare",0.524913591361496,0.306755934931904,"3","Stable Yield"
"MCK","McKesson Corporation",0.53707340945419,0.217888349364852,"3","Stable Yield"
"CME","CME Group",0.352356586756474,0.205328863093424,"2","Aggressive Growth"
"TT","Trane Technologies",0.327064910192892,0.32393148754551,"3","Stable Yield"
"PH","Parker Hannifin",0.216458845467167,0.39390559238626,"3","Stable Yield"
"SBUX","Starbucks",-0.0122375553319804,0.401332352479629,"2","Aggressive Growth"
"ICE","Intercontinental Exchange",0.428661540143258,0.209276539476636,"2","Aggressive Growth"
"GD","General Dynamics",0.231236073712011,0.251041142287303,"3","Stable Yield"
"CDNS","Cadence Design Systems",0.072131942401192,0.451445062873203,"3","Stable Yield"
"NOC","Northrop Grumman",0.137617896460186,0.335457807824533,"3","Stable Yield"
"COIN","Coinbase Global",0.64445210324176,0.827856556433791,"4","High Volatility / Speculative"
"BMY","Bristol Myers Squibb",-0.42576399429118,0.299055320223095,"1","Conservative / Defensive"
"WM","Waste Management",0.274746520038087,0.195613394338359,"3","Stable Yield"
"ORLY","O'Reilly Auto Parts",0.269745153379337,0.224279055214191,"2","Aggressive Growth"
"MCO","Moody's Corporation",0.122930156896545,0.326879703910678,"3","Stable Yield"
"AMT","American Tower",0.415675940551584,0.281966365631942,"2","Aggressive Growth"
"RCL","Royal Caribbean Group",0.651536709110266,0.524359413122451,"4","High Volatility / Speculative"
"SHW","Sherwin-Williams",0.0628054901037102,0.266375503763142,"3","Stable Yield"
"SNPS","Synopsys",0.125277213085585,0.41479454203029,"3","Stable Yield"
"MMM","3M",0.333710753551281,0.348526368043328,"2","Aggressive Growth"
"CI","Cigna",0.387234148620469,0.276639311688543,"3","Stable Yield"
"MDLZ","Mondelez International",0.260876233783371,0.238554488652382,"2","Aggressive Growth"
"EQIX","Equinix",-0.357041609020089,0.346043242819975,"3","Stable Yield"
"ELV","Elevance Health",0.127682289406989,0.325737913872831,"3","Stable Yield"
"HWM","Howmet Aerospace",1.08049443692538,0.402904309275773,"4","High Volatility / Speculative"
"AON","Aon",0.0104170488291501,0.245246481368776,"3","Stable Yield"
"AJG","Arthur J. Gallagher & Co.",0.309676114604076,0.260551638831284,"3","Stable Yield"
"ECL","Ecolab",0.321208565149222,0.224173660347067,"3","Stable Yield"
"MSI","Motorola Solutions",-0.183693054619032,0.267513188237212,"3","Stable Yield"
"WMB","Williams Companies",0.243477322673861,0.308060135315354,"2","Aggressive Growth"
"BK","BNY Mellon",0.339370267109954,0.296942521525595,"2","Aggressive Growth"
"ABNB","Airbnb",0.013578051128508,0.463700994228375,"1","Conservative / Defensive"
"CTAS","Cintas",0.420876595165242,0.245617732788118,"3","Stable Yield"
"APO","Apollo Global Management",-0.325377638447845,0.511545248380362,"1","Conservative / Defensive"
"USB","U.S. Bancorp",-0.116789321555715,0.331591221647056,"2","Aggressive Growth"
"TDG","TransDigm Group",0.401336327148342,0.286329823622661,"3","Stable Yield"
"GLW","Corning Inc.",0.246934410727137,0.377444613540156,"2","Aggressive Growth"
"EMR","Emerson Electric",0.181881293456596,0.353876613602651,"2","Aggressive Growth"
"MAR","Marriott International",-0.0094309745166242,0.33829891968671,"3","Stable Yield"
"ITW","Illinois Tool Works",-0.0232859249613242,0.263148802061924,"3","Stable Yield"
"PNC","PNC Financial Services",-0.054796542818815,0.302088368341789,"3","Stable Yield"
"UPS","United Parcel Service",-0.426330575279389,0.374000753172483,"1","Conservative / Defensive"
"JCI","Johnson Controls",0.606118327747423,0.361961532639045,"2","Aggressive Growth"
"VST","Vistra Corp.",0.538389134307702,0.857864249085866,"4","High Volatility / Speculative"
"RSG","Republic Services",0.435357857621278,0.197678706329925,"3","Stable Yield"
"AZO","AutoZone",0.276945454736873,0.233433357548361,"3","Stable Yield"
"CSX","CSX Corporation",0.0302163959190486,0.257448851095669,"2","Aggressive Growth"
"FI","Fiserv",-0.370510217425569,0.499643983485582,"1","Conservative / Defensive"
"MNST","Monster Beverage",0.375326913748819,0.233869943149684,"2","Aggressive Growth"
"PYPL","PayPal",-0.308352276825551,0.426778227759507,"1","Conservative / Defensive"
"NSC","Norfolk Southern Railway",0.181561447116407,0.279842809412349,"3","Stable Yield"
"ADSK","Autodesk",0.112296353650196,0.288498395237848,"3","Stable Yield"
"TEL","TE Connectivity",0.378501311999424,0.329497435734114,"3","Stable Yield"
"PWR","Quanta Services",0.376848571299562,0.498112636020176,"3","Stable Yield"
"URI","United Rentals",0.1835874249435,0.414392424528351,"3","Stable Yield"
"FTNT","Fortinet",0.228158396156489,0.397361712324318,"2","Aggressive Growth"
"ZTS","Zoetis",-0.0870946421613421,0.303012033980509,"2","Aggressive Growth"
"HLT","Hilton Worldwide",0.172913239532948,0.305893042277422,"3","Stable Yield"
"WDAY","Workday, Inc.",-0.100289839301949,0.385616345557791,"3","Stable Yield"
"AEP","American Electric Power",0.25188410005609,0.214088061521212,"2","Aggressive Growth"
"CL","Colgate-Palmolive",0.00803446154719482,0.241226399736467,"2","Aggressive Growth"
"TRV","Travelers Companies (The)",0.218529172788232,0.256836879644629,"3","Stable Yield"
"COR","Cencora",0.600505943189752,0.221884850142778,"3","Stable Yield"
"FCX","Freeport-McMoRan",0.280914261132113,0.536856753638683,"4","High Volatility / Speculative"
"KMI","Kinder Morgan",0.0934467845900926,0.303670264159913,"2","Aggressive Growth"
"REGN","Regeneron Pharmaceuticals",-0.643849543180905,0.496462371370316,"1","Conservative / Defensive"
"SRE","Sempra",-0.290942997649406,0.415755102266046,"1","Conservative / Defensive"
"EOG","EOG Resources",-0.0869599764592004,0.346529677135325,"2","Aggressive Growth"
"AFL","Aflac",0.0621372078372334,0.251326641502854,"3","Stable Yield"
"DLR","Digital Realty",-0.0316555273579644,0.31939239840909,"3","Stable Yield"
"APD","Air Products",-0.00906219840583644,0.289836173867362,"3","Stable Yield"
"CMI","Cummins",-0.124350902565038,0.359960785606494,"3","Stable Yield"
"SPG","Simon Property Group",-0.159193034970213,0.327846628576621,"3","Stable Yield"
"TFC","Truist Financial",-0.0164064605073898,0.352061861105421,"2","Aggressive Growth"
"CMG","Chipotle Mexican Grill",-0.134294892588129,0.343373071300421,"2","Aggressive Growth"
"DDOG","Datadog",-0.139414500173059,0.433018094845079,"1","Conservative / Defensive"
"MPC","Marathon Petroleum",0.334100301044392,0.419003272137461,"3","Stable Yield"
"AXON","Axon Enterprise",0.682853794921169,0.577960963651576,"4","High Volatility / Speculative"
"FDX","FedEx",-0.391193049312417,0.388124498869932,"1","Conservative / Defensive"
"LHX","L3Harris",0.396449883245863,0.240790999458031,"3","Stable Yield"
"ROP","Roper Technologies",0.204645774666658,0.231398909101426,"3","Stable Yield"
"NXPI","NXP Semiconductors",0.120470953150507,0.554323266606805,"4","High Volatility / Speculative"
"MET","MetLife",-0.0349255619320413,0.338679556711992,"2","Aggressive Growth"
"GM","General Motors",-0.089465184954752,0.385509949274071,"2","Aggressive Growth"
"ALL","Allstate",0.099156974711658,0.300986472431202,"3","Stable Yield"
"BDX","Becton Dickinson",-0.570132055817883,0.379790292703458,"1","Conservative / Defensive"
"O","Realty Income",0.189479099902133,0.196350669798352,"2","Aggressive Growth"
"PSX","Phillips 66",0.0871645952936898,0.441193592192585,"2","Aggressive Growth"
"PSA","Public Storage",-0.0223092201861739,0.235411966803843,"3","Stable Yield"
"D","Dominion Energy",0.0796203454257548,0.269830264303711,"2","Aggressive Growth"
"NDAQ","Nasdaq, Inc.",0.29983848957533,0.277729518719876,"2","Aggressive Growth"
"IDXX","Idexx Laboratories",0.565271296077663,0.356967125084189,"3","Stable Yield"
"VLO","Valero Energy",0.182369071882386,0.448684074096284,"2","Aggressive Growth"
"PCAR","Paccar",-0.175546315182788,0.315235324086548,"3","Stable Yield"
"ROST","Ross Stores",-0.372952710819917,0.294633887673691,"1","Conservative / Defensive"
"EA","Electronic Arts",0.188220257210257,0.374550922533363,"2","Aggressive Growth"
"FAST","Fastenal",0.37011727389797,0.261890457444543,"2","Aggressive Growth"
"CARR","Carrier Global",0.143098285014488,0.365752478207926,"2","Aggressive Growth"
"SLB","Schlumberger",-0.265738492482532,0.425570646358156,"1","Conservative / Defensive"
"GRMN","Garmin",0.0420302603815907,0.426993438614649,"3","Stable Yield"
